app,file_path,mock_type,target_phase,description
quantai,apps/quantai/src/app/page.tsx,hardcoded_array,phase-23,Mock AI chat messages
quantchat,apps/quantchat/src/app/page.tsx,hardcoded_array,phase-23,Mock conversation list
quantchat,apps/quantchat/src/app/chat/[id]/page.tsx,hardcoded_array,phase-23,Mock chat messages
quantmail,apps/quantmail/src/app/page.tsx,hardcoded_array,phase-23,Mock email inbox
quantedits,apps/quantedits/src/pages/assets.tsx,generated_array,phase-23,Mock asset library
quantedits,apps/quantedits/src/pages/editor.tsx,hardcoded_array,phase-23,Mock timeline tracks
quantedits,apps/quantedits/src/pages/index.tsx,generated_array,phase-23,Mock project cards
quantedits,apps/quantedits/src/pages/projects.tsx,generated_array,phase-23,Mock project list
quantedits,apps/quantedits/src/pages/templates.tsx,generated_array,phase-23,Mock template gallery
quantmax,apps/quantmax/src/pages/challenges.tsx,generated_array,phase-23,Mock challenges and leaderboard
quantmax,apps/quantmax/src/pages/create.tsx,generated_array,phase-23,Mock effects and sounds
quantmax,apps/quantmax/src/pages/group-rooms.tsx,generated_array,phase-23,Mock group video rooms
quantmax,apps/quantmax/src/pages/index.tsx,generated_array,phase-23,Mock video feed and comments
quantmax,apps/quantmax/src/pages/live.tsx,generated_array,phase-23,Mock live stream gifters
quantmax,apps/quantmax/src/pages/matches.tsx,generated_array,phase-23,Mock match conversations
quantmax,apps/quantmax/src/pages/matching.tsx,generated_array,phase-23,Mock dating profiles
quantmax,apps/quantmax/src/pages/nearby.tsx,generated_array,phase-23,Mock nearby people and waves
quantneon,apps/quantneon/src/pages/camera.tsx,hardcoded_array,phase-23,Mock camera filters/effects
quantneon,apps/quantneon/src/pages/create.tsx,hardcoded_array,phase-23,Mock creation tools
quantneon,apps/quantneon/src/pages/explore.tsx,hardcoded_array,phase-23,Mock explore grid
quantneon,apps/quantneon/src/pages/index.tsx,generated_array,phase-23,Mock feed posts
quantneon,apps/quantneon/src/pages/post/[id].tsx,hardcoded_array,phase-23,Mock post detail
quantneon,apps/quantneon/src/pages/profile/[id].tsx,hardcoded_array,phase-23,Mock user profile
quantneon,apps/quantneon/src/pages/reels.tsx,hardcoded_array,phase-23,Mock reels feed
quantneon,apps/quantneon/src/pages/stories.tsx,hardcoded_array,phase-23,Mock stories
quantube,apps/quantube/src/pages/index.tsx,mock_function,phase-23,generateMockVideos function
quantube,apps/quantube/src/pages/watch/[id].tsx,generated_array,phase-23,Mock comments and video data
